year,month,pageview_mobile_views,pageview_desktop_views,pagecount_desktop_views,pagecount_mobile_views,pagecount_all_views,pageview_all_views
2008,01,0,0,863575077,0,863575077,0
2008,02,0,0,805618770,0,805618770,0
2008,03,0,0,821957233,0,821957233,0
2008,04,0,0,844357513,0,844357513,0
2008,05,0,0,827713709,0,827713709,0
2008,06,0,0,825055354,0,825055354,0
2008,07,0,0,780369890,0,780369890,0
2008,08,0,0,804302071,0,804302071,0
2008,09,0,0,817672904,0,817672904,0
2008,10,0,0,855432765,0,855432765,0
2008,11,0,0,1007854264,0,1007854264,0
2008,12,0,0,1482076522,0,1482076522,0
2009,01,0,0,1313287179,0,1313287179,0
2009,02,0,0,916254643,0,916254643,0
2009,03,0,0,1010935249,0,1010935249,0
2009,04,0,0,816911070,0,816911070,0
2009,05,0,0,900827289,0,900827289,0
2009,06,0,0,908943732,0,908943732,0
2009,07,0,0,846000568,0,846000568,0
2009,08,0,0,839851733,0,839851733,0
2009,09,0,0,602992497,0,602992497,0
2009,10,0,0,880828772,0,880828772,0
2009,11,0,0,892473405,0,892473405,0
2009,12,0,0,783921314,0,783921314,0
2010,01,0,0,888038285,0,888038285,0
2010,02,0,0,823448165,0,823448165,0
2010,03,0,0,836322180,0,836322180,0
2010,04,0,0,771419721,0,771419721,0
2010,05,0,0,778512486,0,778512486,0
2010,06,0,0,596213096,0,596213096,0
2010,07,0,0,631180879,0,631180879,0
2010,08,0,0,952332186,0,952332186,0
2010,09,0,0,1040867552,0,1040867552,0
2010,10,0,0,1627809061,0,1627809061,0
2010,11,0,0,995628729,0,995628729,0
2010,12,0,0,968407157,0,968407157,0
2011,01,0,0,1146508998,0,1146508998,0
2011,02,0,0,911219090,0,911219090,0
2011,03,0,0,1000068078,0,1000068078,0
2011,04,0,0,868707187,0,868707187,0
2011,05,0,0,1032177894,0,1032177894,0
2011,06,0,0,963032634,0,963032634,0
2011,07,0,0,950102155,0,950102155,0
2011,08,0,0,895803744,0,895803744,0
2011,09,0,0,763290597,0,763290597,0
2011,10,0,0,937347272,0,937347272,0
2011,11,0,0,1017247857,0,1017247857,0
2011,12,0,0,879453223,0,879453223,0
2012,01,0,0,1143793098,0,1143793098,0
2012,02,0,0,1027600446,0,1027600446,0
2012,03,0,0,1007788513,0,1007788513,0
2012,04,0,0,946861623,0,946861623,0
2012,05,0,0,1008782690,0,1008782690,0
2012,06,0,0,1004848001,0,1004848001,0
2012,07,0,0,1011811814,0,1011811814,0
2012,08,0,0,957277295,0,957277295,0
2012,09,0,0,962492935,0,962492935,0
2012,10,0,0,1060645143,0,1060645143,0
2012,11,0,0,1134705757,0,1134705757,0
2012,12,0,0,1057051641,0,1057051641,0
2013,01,0,0,1220628575,0,1220628575,0
2013,02,0,0,1023280228,0,1023280228,0
2013,03,0,0,1021650672,0,1021650672,0
2013,04,0,0,928205605,0,928205605,0
2013,05,0,0,943055053,0,943055053,0
2013,06,0,0,944364286,0,944364286,0
2013,07,0,0,970770754,0,970770754,0
2013,08,0,0,1128949669,0,1128949669,0
2013,09,0,0,1148553873,0,1148553873,0
2013,10,0,0,1189152295,0,1189152295,0
2013,11,0,0,1198112011,0,1198112011,0
2013,12,0,0,841118438,0,841118438,0
2014,01,0,0,974435535,0,974435535,0
2014,02,0,0,947693748,0,947693748,0
2014,03,0,0,982222158,0,982222158,0
2014,04,0,0,895164141,0,895164141,0
2014,05,0,0,904509427,0,904509427,0
2014,06,0,0,841901684,0,841901684,0
2014,07,0,0,879262963,0,879262963,0
2014,08,0,0,859268987,0,859268987,0
2014,09,0,0,881982739,0,881982739,0
2014,10,0,0,848030024,344883349,1192913373,0
